video_id,video_title,categoryId,category,tags,published_date,thumbnails_medium_url,description,channel_id,crawled_time
qfnnlLASHnU,Kejayaan Kesultanan ISLAM di Pulau Sumatera (PART I),19,Travel & Events,Not found,2022-05-01 23:43:15,https://i.ytimg.com/vi/qfnnlLASHnU/mqdefault.jpg,....MENGUNGKAP...Kejayaan Kerajaan Islam di Pulau Sumatera (PART I)@Muhammad Dagri Nizar   @Cerita Islam   @Buya TV - Sejarah & Ceramah Islam   @Kajian Sejarah Islam   @Berita Islam Terkini   @Yufid.TV - Pengajian & Ceramah Islam   @Islam Populer   @Islamic Teacher Official   @YtCrash Islam   @Sonic Islamic (سونک اسلامک)   @Omar & Hana - Lagu Kanak-Kanak Islam   @Lampu Islam   @Islam Advisor   @القارىء إسلام صبحي Islam Sobhi   @Islamic Group   @Islamic Solution   @Islamic Masail World   @Mohammadia Islamic Media  #sejarahislam #sejarahislamdiindonesia #sejarahislamdidunia #sejarahislammasukkeindonesia #sejarahislamnusantara #napaktilassejarah #pedaganggujaratdanpersia #khazanahislam #ceritaanakislam #ceritaislam #islampopuler #sejarahperadabanislam #sejarahperadabandunia #kerajaanislamdiindonesia #berkahramadhan #walisongo #kerajaansamuderapasai #kerajaandemak #kerajaankutaikartanegara #kerajaangowatallo #kerajaanaceh #kerajaanjeumpa #kerajaanperlak #kerajaanpalembang #kerajaanlamuri #kerajaanaru #kerajaansiguntur #kerajaanaru #kerajaantamiang #kerajaanpedir #kerajaanpagaruyung #kerajaanminangkabau #kerajaandeli #kerajaanserdang #kerajaanasahan #kerajaanpadang #kerajaanjambi #kerajaanindragiri #kerajaanindrapura #kerajaansiaksriindrapura #kerajaankotapinang #kerajaanbungosatangkai #kerajaansungaipagu #kerajaanlangkat #kerajaanlinge #kerajaanlingga #kerajaandaya #kerajaanpelalawan,UCJvWoA2YZk1spNytRZlsv7g,2022-09-22 11:25:11
BcJUUQWCWeA,Sam Po Kong 00189.MTS,19,Travel & Events,Not found,2012-05-27 07:28:14,https://i.ytimg.com/vi/BcJUUQWCWeA/mqdefault.jpg, ,UCAAw3LAXbETZzZ_TN1UF5kQ,2022-09-22 11:25:11
7wnXFMvYsZM,Klenteng Sam Po Kong (Dari Masjid Menjadi Kuil) Vlog Semarang,22,People & Blogs,Not found,2019-10-08 04:11:57,https://i.ytimg.com/vi/7wnXFMvYsZM/mqdefault.jpg,"Wisata Semarang Klenteng Sam Po Kong yang merupakan jejak peninggalan Laksamana Cheng Ho,  penjelajah muslim cina yang sering melakukan pelayaran ke segala penjuru termasuk kepulauan Indonesia",UC7Xo2RonJVHwTPqaFtAOYIg,2022-09-22 11:25:11
2gelMjpK5ts,🟪 SAM POO KONG | Semarang | Indonesia,19,Travel & Events,Not found,2021-08-24 23:54:50,https://i.ytimg.com/vi/2gelMjpK5ts/mqdefault.jpg,"SAM POO KONG

Kelenteng Gedung Kuno Sam Poo Tong (Hanzi: 三保洞, makna literal ""gua tiga orang sakti"") yaitu bekas tempat persinggahan dan pendaratan pertama seorang Laksamana Tiongkok beragama Islam yang bernama Zheng He/Cheng Ho. Tidak semua anak buah kapal beragama Islam. Kompleks Sam Po Tong berada di daerah Simongan, sebelah barat daya Kota Semarang. Tanda yang menunjukan sebagai bekas petilasan yang berciri keislaman dengan ditemukannya tulisan berbunyi ""Marilah kita mengheningkan cipta dengan mendengarkan bacaan Al Qur'an"".

Kelenteng ini disebut Gedung Batu karena bentuknya merupakan gua batu besar yang berada di sebuah bukit batu. Untuk mengenang Zheng He, masyarakat Indonesia keturunan Tionghoa membangun sebuah kelenteng. Sekarang tempat ini dijadikan tempat peringatan dan pemujaan atau bersembahyang serta tempat untuk berziarah. Untuk keperluan tersebut, di dalam gua batu itu diletakkan sebuah altar serta patung-patung Sam Po Tay Djien. Meskipun Laksamana Cheng Ho adalah seorang muslim, tetapi masyarakat menganggapnya sebagai dewa. Hal ini dapat dimaklumi mengingat agama Konghucu atau Taoisme menganggap orang yang sudah meninggal dapat memberikan pertolongan kepada mereka.

Menurut cerita, Laksamana Zheng He sedang berlayar melewati Laut Jawa, namun saat melintasi Laut Jawa, banyak awak kapalnya yang jatuh sakit, kemudian ia memerintahkan untuk membuang sauh. Kemudian, kapalnya merapat ke Pantai Utara Semarang untuk berlindung di sebuah gua dan mendirikan sebuah masjid (belum ada bukti yang konkret) di tepi pantai yang sekarang telah berubah fungsi menjadi kelenteng. Bangunan tersebut sekarang terletak di tengah kota Semarang karena Pantai Utara Jawa yang selalu mengalami proses pendangkalan. Hal ini menyebabkan adanya proses sedimentasi sehingga lambat laun, daratan pulau Jawa makin bertambah luas ke arah Utara.

Konon, setelah Zheng He meninggalkan tempat tersebut karena ia harus melanjutkan pelayarannya, banyak awak kapalnya yang tinggal di desa Simongan dan menikah dengan penduduk setempat. Mereka bersawah dan berladang di tempat itu. Zheng He memberikan pelajaran bercocok-tanam serta menyebarkan ajaran-ajaran Islam. Bahkan, di Kelenteng ini juga terdapat Makam seorang juru mudi dari Kapal Laksamana Cheng Ho.

Selain membangun Kelenteng Sam Poo Kong, laksamana cheng ho juga membangun kembali masjid Jingjue, masjid Jingjue didirikan pada 1388 masehi oleh Yuanzhang [1] yang merupakan kaisar pertama Dinasti Ming. Namun Masjid Jingjue sempat hancur terbakar pada 1430 masehi. Akhirnya, masjid ini dibangun kembali di bawah perintah Laksamana Cheng Ho pada 1492 masehi.
#imlek2022
#semarangchinesenewyear
#chinesenewyear",UCiClZP1LMZgGHF5HKJJvimQ,2022-09-22 11:25:11
pIj__2fXIwk,#85 KENAPA KESULTANAN MELAYU MELAKA BOLEH TEWAS PADA 1511?,24,Entertainment,Not found,2022-03-31 07:00:13,https://i.ytimg.com/vi/pIj__2fXIwk/mqdefault.jpg,"MASIH RAGU AKAN KEHEBATAN BANGSA SENDIRI? 
JOM DAPATKAN SEKARANG KARYA JITRAWIY!
https://shopee.com.my/izzuddinaljitrawiy021

KEJATUHAN MELAKA HANYALAH PADA KOTA MELAKA..

Petikan karya RISE OF EMPIRES MALACCA, Izzuddin Al Jitrawiy

“Mengumumkan keberangkatan Yang Dipertuan Baginda Sultan, Penguasa Wilayah Nusantara dan Jajahan Takluknya, Pemegang Amanah Agama dan Bangsa, Lambang Kekuatan Senusantara, Penerus Warisan Raja Sulaiman, Sultan Mahmud Shah”, dilaungkan ucapan ketibaan seorang Sultan yang dinanti sekalian pembesar-pembesar yang hadir. 

Aku tidak pasti apakah majlis yang sedang berlangsung dan apakah urusan sebenarnya aku tiba-tiba dijemput datang ke sini. 

Setelah siap Sultan Mahmud Shah bersemayam (duduk) di atas singgahsana Baginda, lalu Baginda Sultan bertitah, “Di hari yang penuh keberkatan, dengan izinNya jua serta barokah Nabi kita Baginda SAW, sematkanlah rasa syukur dalam jiwa agar terus aman dan damai wilayah kita.” 

“Sesungguhnya, hari ini akan kita persiapkan sebuah persediaan bagi menghadapi peristiwa besar yang akan berlaku.” 

Aku terus menundukkan kepala sambil mendengar titah daripada Baginda Sultan. “Anakanda Paduka Izzuddin Muadzam Shah!” titah Baginda Sultan dengan lantang. 

“Hari ini beta dengan tegasnya mahu Anakanda Paduka mencatit setiap peristiwa yang sedang dan akan berlaku sebagai catitan sejarah, daulah dan maruah Kesultanan ini!” 

Gulp.. tertelan air liur aku dibuatnya, tersentak pun ada. Bayangkan, seorang Sultan terus memberikan arahan langsung dan memang tidaklah aku berani untuk mengatakan tidak. 

Baginda Sultan menyambung titahnya, “Kita bakal berdepan dengan sebuah peristiwa yang amat menyedihkan, hakikatnya itulah kegembiraan buat kita kerana berkorban untuk tanah air kita. 

Beta tahu Kesultanan Melaka sudah diintip dan dijajah dari dalam, pengkhianatan berlaku dalam kalangan kita semua. Kini, hanya tinggal kita sahaja untuk membalas jasa budi serta pengorbanan segalanya”.

BELI 5 BUKU ANDA AKAN DAPAT 8 HADIAH PERCUMA! 😱🤭

Iaitu;

FREE 4 BOOKMARK

FREE 1 KEYCHAIN KERIS

FREE 1 SIGN PENULIS

FREE 1 SET POSTAGE

FREE 1 E BOOK PANDUAN CINTA WATAN

Shhh... Hadiah percuma ini terhad, yang terawal je dapat tau..🙏🏻😉

#sale4.4
#jitrawiy
#promosiramadhan
#terhad

DAPATKAN SEKARANG PROMO KOMBO RAMADHAN SEBELUM TERLAMBAT ~ https://linktr.ee/jitrawiy",UCd3qpyN_QIkychuoPIeb-Og,2022-09-22 11:25:11
ewLWCmIGYJI,ayaan 612 tahun kedatangan  Laksamana Cheng Ho (sam poo tay djien) di Semarang (14),22,People & Blogs,Not found,2017-08-05 00:01:26,https://i.ytimg.com/vi/ewLWCmIGYJI/mqdefault.jpg,"Perayaan HUT kedatangan YM. Konco Sam Poo Tay Djien di Semarang
21 - 22 juli 2017",UCRycN5rVHX03COUQsCAaRPw,2022-09-22 11:25:11
uUeUVFyCUzQ,Klenteng Sam Poo Kong Sepi dari Warga yang Beribadah - iNews Pagi 13/02,25,News & Politics,Not found,2021-02-13 04:12:34,https://i.ytimg.com/vi/uUeUVFyCUzQ/mqdefault.jpg,"Tanggal Tayang: 13/02/2021

Program berita harian yang menyajikan Informasi tercepat dan teraktual secara detail dari berbagai bidang secara LIVE, mulai dari peristiwa politik, hukum, sosial, budaya, ekonomi, dan olah raga, baik dari dalam ataupun luar negeri. Terdapat laporan langsung tim liputan handal kami dari tempat peristiwa yang bisa dijadikan sumber referensi informasi Anda. Dipandu oleh para host yang menarik, dengan gaya santai dan ringan. Saksikan iNews Pagi, iNews Siang, iNews Sore, dan iNews Malam, hanya di iNews agar Anda tidak tertinggal informasi.

Subscribe iNews Official Youtube Channel:
https://www.youtube.com/OfficialiNews?sub_confirmation=1

Follow Our Official Twitter: https://twitter.com/OfficialiNewsTV
Check Our Official Website: https://www.inews.id
Like Our Official Facebook: https://www.facebook.com/OfficialiNews
Follow Our Official Instagram: https://www.instagram.com/officialinewstv

Saksikan info berita terkini di:
iNews Pagi: Senin – Jumat Pukul 06.00 - 07.30 WIB | Sabtu – Minggu Pukul 04.30 - 06.30 WIB
iNews Siang: Senin – Jumat Pukul 12.00 - 13.30 WIB | Sabtu – Minggu Pukul 11.00 - 12.30 WIB
iNews Sore: Setiap Hari Pukul 17.30 - 19.00 WIB |  Sabtu - Minggu Pukul 16.30 - 18.00 WIB
iNews Malam: Senin – Jumat 21.00 - 22.00 WIB

Sabang, Lampung, Pelaihari, Banjarmasin, Masohi - 50 UHF | Lhokseumawe, Jabodetabek - 30 UHF | Banda Aceh - 40 UHF | Medan, Pontianak, Semarang - 45 UHF | Pematang Siantar - 58 UHF | Pekan Baru - 48 UHF | Tanah Datar, Bukit Tinggi, Palangkaraya - 33 UHF | Padang, Cirebon - 31 UHF | Batam, Samarinda - 61 UHF | Palembang, Kendari - 44 UHF | Pangkal Pinang - 37 UHF | Bengkulu, Merauke - 24 UHF | Bandung - 22 UHF | Tasikmalaya - 52 UHF | Magelang - 54 UHF | Surabaya - 62 UHF | Denpasar - 53 UHF | Mataram - 38 UHF | Kupang, Gorontalo 56 UHF | Makassar - 51 UHF | Mamuju - 28 UHF | Tarakan - 41 UHF | Palu - 45 UHF | Manado - 26 UHF | Ternate, Manokwari - 34 UHF | Indovision -Channel 83 |Top TV - Channel 83 | Okevision - Channel 101",UCoSkllfpgmFHtbVK835QaQg,2022-09-22 11:25:12
AsA777ljUmw,"TAMAN CHENG HO || KAMPUNG CHENG HO || Tasya and Family (Vlog, Adventure, Wisata, Alam, Indonesia)",22,People & Blogs,Not found,2021-12-29 05:20:40,https://i.ytimg.com/vi/AsA777ljUmw/mqdefault.jpg,"Taman Cheng Ho taman yang sangat indah, asri, sejuk dan damai, di kelilingi perbukitan yang hijau, serta hamparan sawah, semakin membuat damai memandangnya dan anak-anak bahagia bermain di taman cheng ho

-----

#tamanchengho
#kampungchengho
#tasyaandfamily
#vlog
#adventure
#wisata
#alam
#indonesia
#seru
#tamanbermain
#tamananak
#tamanwisata
#taman
#kampung",UC1zIX1W8PDSD03-OhohQhCQ,2022-09-22 11:25:12
0KXr8bvbIXc,Festival Arak arakan Cheng Ho Ke 617/2022 Part 2,22,People & Blogs,Not found,2022-08-03 13:30:12,https://i.ytimg.com/vi/0KXr8bvbIXc/mqdefault.jpg,"Lokasi acara di Klenteng Rasa Dharma Gang Pinggir Semarang
30 Juli 2022

#sampookong #eventsemarang",UCMDYyQ_4tavU6SqQaHkDjyg,2022-09-22 11:25:12
YjBGY_qvFqU,"AGAMA, TOLERANSI & PERDAMAIAN - Syaykh Al-Zaytun - Prof. Dr. A.S. Panji Gumilang, MP.",27,Education,Not found,2022-03-15 11:16:14,https://i.ytimg.com/vi/YjBGY_qvFqU/mqdefault.jpg,#ALZAYTUN #PANJIGUMILANG #TOLERANSIDAMAI,UCvH7PUazcj1S-B-pz-lNPpQ,2022-09-22 11:25:12
ChtAT9q2l6s,Denny Siregar: JOKOWI MELAWAN MAFIA MINYAK GORENG,25,News & Politics,Not found,2022-04-25 13:31:47,https://i.ytimg.com/vi/ChtAT9q2l6s/mqdefault.jpg,,UC1dx8HeC0DmLKAMun2fQlMA,2022-09-22 11:25:12
dPeYDps4PtA,Gestrek kedawangan,22,People & Blogs,Not found,2016-12-06 19:44:45,https://i.ytimg.com/vi/dPeYDps4PtA/mqdefault.jpg,,UCLORSsWCHrvHGaU3WwK5jsg,2022-09-22 11:25:13
